ID,Idea,Platform,Source,Category,CB Excitement (1-10),Motivation / Why It Matters to CB,Untapped Market (1-10),Repeatable & Scalable (1-10),Moated (1-10),Risk (1-10 = highest),Effort (1-10 = most),Autonomy (1-10 = fully autonomous),Cost to Launch (Est.),Time to First Dollar (Est.),Autonomous Filter,Builder Filter,Stage,Notes / Next Action
11,Agent Template Marketplace,AI Digital Products,AI Suggested,Digital Product,,,CB builds Claude agents for personal use already. Package and sell the builds.,7,8,5,2,8,$0,2-3 weeks,PASS,PASS,PIPELINE,"Pre-built Claude agent configs as digital downloads. $39-$79 per template. List on Gumroad."
12,Paid Community (Skool / Circle),AI Digital Products,AI Suggested,Community / Membership,,,CB's expertise IS what people pay $500-$2000/year to access.,7,7,6,3,8,$0-$99/month platform,2-3 weeks,PASS,PASS,PIPELINE,"AI Wealth Builders community. Founding rate $397/year. Invite 20 network contacts as founding members first."
13,Equity-for-Expertise,AI Digital Products,AI Suggested,Ownership / Investment,,,Instead of fees take equity. Knowledge compounds into ownership stakes.,6,6,7,5,7,$0,Ongoing,PARTIAL,PASS,PIPELINE,"Identify 3 small businesses in network. Propose 1-5% equity for AI implementation. Define scope + vesting before committing."
14,Houston Website Play (CB Runs It),AI Digital Products,AI Suggested,Marketing Agency,,,Podcast-proven model: $8K MRR in 30 days on $420 spend. CB has Houston network = unfair advantage.,9,6,5,5,6,$500-$1000,30 days,PARTIAL,PASS,PIPELINE,"Scrape 50 Houston HVAC / plumbing / electrical businesses. Build sites (AI). Mail postcards (Lob.com). Call scanners. Three-Layer Cake: agent + postcard + call."
15,Houston Website Play (Sell the Tool),Consumer AI Products,AI Suggested,SaaS / Tool,,,Package the agent workflow as a product others can license or buy.,7,8,6,4,7,$500-$2000 (build),90 days,PASS,PASS,PIPELINE,"After running CB's version — document the agent stack. Sell as a template or SaaS. Targets: other BD people / agencies."
16,T&C Review Browser Extension,Consumer Protection,CB Original,SaaS / Extension,,,Universal pain point. Everyone clicks agree without reading. CB's security knowledge = the moat.,8,8,7,5,7,$200-$500,60 days,PASS,PASS,PIPELINE,"Chrome Manifest V3 + Claude API. Free: basic summary. Paid $5-10/month: risk flags + unlimited. MVP = 3 features max."
17,Fraud Detection (Calls / Emails / Texts),Consumer Protection,CB Original,App / SaaS,,,Universal pain. Emotional. High willingness to pay. CB understands fraud mechanics.,8,7,6,4,7,$500-$2000,90 days,PASS,PASS,PIPELINE,"Email scanner first (paste suspicious email → get risk analysis). Text analyzer second. Call screening third. Build after T&C extension."
18,Privacy Protection Tool,Consumer Protection,CB Original,App / SaaS,,,CB's privacy knowledge = deep audit logic others can't replicate.,7,7,6,4,7,$500-$1500,120 days,PASS,PASS,PIPELINE,"One-time audit $19-$29 + monthly monitoring $9/month. Build after fraud detection."
19,Health Reminders in Projects,Consumer Protection,CB Original,Feature / App,,,Borderline — fits inside protection suite or as a lightweight standalone.,5,6,3,2,8,$100-$300,45-60 days,PASS,PARTIAL,PIPELINE,"Validate demand before building. Add as feature to T&C extension or Consumer AI suite."
20,Sports Intelligence Platform,Consumer AI Products,CB Original,App / Subscription,,,CB's sports network = warm launch audience. Passion-backed = faster build.,8,7,5,4,7,$1000-$3000,90 days,PASS,PASS,PIPELINE,"Poll 20 sports contacts first. 5 yes = build. Game intel + technique tips + betting angles. $9-15/month."
21,Golf Flyover App,Consumer AI Products,CB Original,App,,,Personal passion = authentic product voice. Niche but paying audience.,7,7,6,3,7,$500-$2000,60-90 days,PASS,PASS,PIPELINE,"Hole-by-hole AI course intel. Wind + weather. Shot recommendations. $3.99/month or $24.99/year. Standalone or inside sports platform."
22,Betting / Horse Racing Intelligence,Consumer AI Products,CB Original,Subscription / Data,,,Passion + AI analytical ability = differentiated signal quality.,8,7,5,5,6,$500-$1500,60-90 days,PARTIAL,PASS,PIPELINE,"Subfeature of Sports Intelligence platform first. AI picks + data subscription $15-25/month. Verify legal compliance in target markets."
23,Landscaping / Gardening AI Agent,Consumer AI Products,CB Original,App / Subscription,,,Seasonal urgency (spring peak). Low complexity. High homeowner demand.,7,8,5,3,8,$500-$1500,45-60 days,PASS,PASS,PIPELINE,"Email-first MVP — daily care reminder at 7am (not an app). Plant ID + care schedule + weather watering alerts. $4-9/month."
24,Food / Chef / Cookbook Agent,Consumer AI Products,CB Original,App / Subscription,,,Passion for food = authentic product voice. High consumer demand.,7,8,4,3,8,$500-$1500,60 days,PASS,PASS,PIPELINE,"Email-first: daily recipe at 5pm (not an app). Personalized recipes + meal planning + ingredient subs. $7-10/month."
25,IT Troubleshoot at Home,Consumer AI Products,CB Original,App / Subscription,,,Broad audience. Clear pain. CB's IT knowledge = better diagnosis logic.,7,8,4,3,7,$500-$1500,60-90 days,PASS,PASS,PIPELINE,"Self-serve AI tech support. Freemium (3 sessions) → $6-9/month unlimited. AI handles diagnosis — CB not in loop."
26,TV Dim / Fix Sound (Low Talking High Music),Consumer AI Products,CB Original,App / Niche Tool,,,Universal frustration. Niche but fast build if audio processing is feasible.,6,7,4,3,8,$300-$1000,45-60 days,PASS,PARTIAL,PIPELINE,"Research audio processing feasibility on target devices first. Freemium → $2.99/month or one-time $9.99."
27,Personal Intelligence Expert,Consumer AI Products,CB Original,App / Subscription,,,Reading / translating / explaining anything. Overlaps with T&C and doc review — bundle opportunity.,7,7,4,3,7,$500-$1500,60-90 days,PASS,PASS,PIPELINE,"AI that reads + translates + summarizes + explains any content. $8-12/month. Consider bundling with Consumer Protection Suite."
28,Quad Box (Multi-Streaming Aggregator),Consumer AI Products,CB Original,App,,,Real pain for sports fans managing 3+ streaming services.,6,6,3,4,7,$1000-$3000,90-120 days,PASS,PARTIAL,PIPELINE,"Research streaming API licensing FIRST — complex legal landscape. Do not build until legal/technical feasibility confirmed."
29,Sports Intelligence Newsletter,Consumer AI Products,AI Suggested,Newsletter / Paid,,,AI-curated sports picks + analysis on Beehiiv. CB's sports network = launch audience.,7,8,5,3,8,$0,2-3 weeks,PASS,PASS,PIPELINE,"Paid tier on Beehiiv. Subfeature of sports platform or standalone. Validate as newsletter before building app."
30,MyNewsHub — Free + Paid Tiers,MyNewsHub,CB Original,SaaS Platform,,,Active build. Define monetization NOW before next feature is written.,9,8,7,2,8,$0 (already building),Days,PASS,PASS,ACTIVE,"Free tier: 20 sources / 10 AI summaries / 5 tickers. Paid $12/month: unlimited + all features. Define gate in current build."
31,MyNewsHub — Affiliate Layer,MyNewsHub,AI Suggested,Passive Commission,,,Every recommendation in the hub earns commission. Zero marginal work.,8,9,5,1,9,$0,2-4 weeks,PASS,PASS,ACTIVE,"Add affiliate links for: AI tools / financial products / golf gear / sports / privacy tools. Infrastructure in codebase."
32,MyNewsHub — White-Label Licensing,MyNewsHub,AI Suggested,B2B SaaS,,,License curation tech to media companies / newsletters / local news orgs.,7,9,7,2,8,$0 (after MVP),Post-MVP,PASS,PASS,PIPELINE,"Target: local news orgs / independent newsletters / media companies. $500-2000/month per license. Identify 3 conversations in network."
33,Personalized Morning Note (Dividend Investors),AI Digital Products,AI Suggested,Newsletter / Paid,,,$9-19/month delivered at 7am to sub-$250K dividend investors. CB's existing morning note — monetized.,8,8,6,4,9,$0,2-3 weeks,PASS,PASS,PIPELINE,"Email-first. Never build an app for this. CB curates holdings + coverage ratios + watchlist triggers. Add to Beehiiv as paid vertical."
34,Covered Calls / Wheel Strategy,Investments,AI Suggested,Investment Income,,,If stock positions exist — income from assets CB already owns. One trade per cycle.,7,8,5,2,9,$0 (existing positions),Immediate,PASS,PASS,ACTIVE,"Identify wheel-eligible positions (100+ shares). Define strike + expiration preference. Execute first covered call."
35,Dividend Income Portfolio,Investments,CB Original,Investment Income,,,Build once. Income flows automatically. CB's financial knowledge = informed deployment.,8,9,6,3,9,Capital required,6-12 months,PASS,PASS,PIPELINE,"MLPs + REITs + BDCs + covered call ETFs (JEPI/QYLD). Define total capital available first. Tax-advantaged accounts before taxable."
36,Tax-Advantaged Optimization,Investments,CB Original,Financial Strategy,,,Every dollar saved in taxes compounds. Highest guaranteed return in CB's portfolio.,7,8,5,1,9,$0,Immediate,PASS,PASS,ACTIVE,"Max Roth IRA + Solo 401k (if self-employed income) + HSA (if eligible). Do before any taxable deployment."
37,Finder's Fees / Deal Brokering,Investments,AI Suggested,Deal Income,,,One conversation. One introduction. Fee follows the deal.,7,7,4,3,7,$0,Ongoing,PARTIAL,PASS,PIPELINE,"Define deal types CB wants to source. Create finder's fee agreement template. Identify 3 active opportunities in network."
38,Houston BRRRR — Property 1,Real Estate,CB Original,Rental Income,,,No state income tax. CB's Houston knowledge. PM handles everything after close.,7,7,6,4,6,Capital required (down + rehab),12-18 months,PARTIAL,PASS,PIPELINE,"Define capital available. Identify portfolio lender. Connect with 2-3 wholesalers. Buy below 75% ARV. PM from day one."
39,Italy T-Shirts / Print-on-Demand,Passion Ventures,CB Original,E-Commerce,,,Zero inventory. Ships automatically. Cultural identity products sell to tight communities.,7,8,4,3,9,$0-$50 (design tools),1 week,PASS,PASS,PIPELINE,"Printful + Etsy. 5-10 hero designs using Midjourney/Canva. Italy + golf + AI themes. Announce to Italy network + golf contacts."
40,Print-on-Demand Expansion (Golf / AI / Finance),Passion Ventures,AI Suggested,E-Commerce,,,Extend same zero-inventory structure to new themes. Same Printful/Etsy infrastructure.,6,8,4,2,9,$0,1-2 weeks,PASS,PASS,PIPELINE,"Golf lifestyle / financial freedom / AI culture themes. Each new product = new Etsy search surface. No additional marketing spend."
41,Dust Collector (Physical Product),Passion Ventures,CB Original,E-Commerce / Product,,,Physical product concept — needs definition before evaluation.,6,5,4,5,5,TBD,TBD,PARTIAL,PARTIAL,PIPELINE,"Define product in one paragraph first. Research Alibaba/Faire sourcing. Evaluate dropship vs. 3PL vs. print-on-demand. Unit economics before any capital."
42,Niche Paid Community (Discord),AI Digital Products,AI Suggested,Community / Membership,,,AI Wealth Builders community. Automated onboarding. Monthly billing. CB participates minimally.,6,7,5,3,8,$0-$50/month platform,2-3 weeks,PASS,PASS,PIPELINE,"Alternative to Skool. Discord + Stripe billing. Consider after newsletter has 500+ subscribers."
43,API-as-a-Product,Consumer Protection + Consumer AI,AI Suggested,Developer SaaS,,,Turn any agent CB builds into a paid API. Developers pay per call or per month.,7,9,6,4,8,$200-$500,After first product is live,PASS,PASS,PIPELINE,"Expose core AI analysis from T&C extension or fraud detection as a paid API. List on RapidAPI. Per-call or monthly subscription."
